item_name,location,qty_available
Стол инверсионный,"Кронштадтский бульвар, 20 | Гимнастический зал",2
секции шведской стенки,"Кронштадтский бульвар, 20 | Гимнастический зал",14
Столы для настольного тенниса,"Кронштадтский бульвар, 20 | Зал для настольного тенниса",3
Баскетбольные фермы,"Кронштадтский бульвар, 20 | Игровой зал",2
ворота футбольные,"Кронштадтский бульвар, 20 | Игровой зал",2
вышка волейбольная,"Кронштадтский бульвар, 20 | Игровой зал",1
кольца баскетбольные подвесные,"Кронштадтский бульвар, 20 | Игровой зал",2
секции шведской стенки,"Кронштадтский бульвар, 20 | Игровой зал",10
стойки волейбольные,"Кронштадтский бульвар, 20 | Игровой зал",2
стойки для бадминтона,"Кронштадтский бульвар, 20 | Игровой зал",2
стойки для большого тенниса,"Кронштадтский бульвар, 20 | Игровой зал",2
табло времени атаки,"Кронштадтский бульвар, 20 | Игровой зал",2
табло электронное,"Кронштадтский бульвар, 20 | Игровой зал",1
Тренажер эллипс,"Кронштадтский бульвар, 20 | Тренажерный зал",1
брусья параллельные,"Кронштадтский бульвар, 20 | Тренажерный зал",1
грифы,"Кронштадтский бульвар, 20 | Тренажерный зал",4
многофункциональный тренажер,"Кронштадтский бульвар, 20 | Тренажерный зал",1
опция,"Кронштадтский бульвар, 20 | Тренажерный зал",1
площадка элементная,"Кронштадтский бульвар, 20 | Тренажерный зал",1
силовые тренажеры,"Кронштадтский бульвар, 20 | Тренажерный зал",5
скамья атлетическая,"Кронштадтский бульвар, 20 | Тренажерный зал",3
штанга,"Кронштадтский бульвар, 20 | Тренажерный зал",1
Комплект специализированной мебели,"Кронштадтский бульвар, 20 | Учебная аудитория для занятий лекционного типа",10
Персональный компьютер,"Кронштадтский бульвар, 20 | Учебная аудитория для занятий лекционного типа",9
Проектор,"Кронштадтский бульвар, 20 | Учебная аудитория для занятий лекционного типа",9
Экран,"Кронштадтский бульвар, 20 | Учебная аудитория для занятий лекционного типа",9
Комплект специализированной мебели,"Кронштадтский бульвар, 20 | Учебная аудитория для занятий лекционного типа 15Р",1
Персональный компьютер,"Кронштадтский бульвар, 20 | Учебная аудитория для занятий лекционного типа 15Р",1
Проектор,"Кронштадтский бульвар, 20 | Учебная аудитория для занятий лекционного типа 15Р",1
Экран,"Кронштадтский бульвар, 20 | Учебная аудитория для занятий лекционного типа 15Р",1
Комплект специализированной мебели,"Кронштадтский бульвар, 20 | Учебная аудитория для занятий лекционного типа 21Р",1
Персональный компьютер,"Кронштадтский бульвар, 20 | Учебная аудитория для занятий лекционного типа 21Р",1
Проектор,"Кронштадтский бульвар, 20 | Учебная аудитория для занятий лекционного типа 21Р",1
Экран,"Кронштадтский бульвар, 20 | Учебная аудитория для занятий лекционного типа 21Р",1
Комплект специализированной мебели,"Кронштадтский бульвар, 20 | Учебная аудитория для занятий лекционного типа 7Р",2
Персональный компьютер,"Кронштадтский бульвар, 20 | Учебная аудитория для занятий лекционного типа 7Р",2
Проектор,"Кронштадтский бульвар, 20 | Учебная аудитория для занятий лекционного типа 7Р",2
Экран,"Кронштадтский бульвар, 20 | Учебная аудитория для занятий лекционного типа 7Р",2
Комплект специализированной мебели,"Кронштадтский бульвар, 20 | Учебная аудитория для занятий лекционного типа 9Р",1
Персональный компьютер,"Кронштадтский бульвар, 20 | Учебная аудитория для занятий лекционного типа 9Р",1
Проектор,"Кронштадтский бульвар, 20 | Учебная аудитория для занятий лекционного типа 9Р",1
Экран,"Кронштадтский бульвар, 20 | Учебная аудитория для занятий лекционного типа 9Р",1
"""Комплект специализированной мебели","Кронштадтский бульвар, 20 | Учебная аудитория для проведения занятий лекционного типа",1
Комплект специализированной мебели,"Кронштадтский бульвар, 20 | Учебная аудитория для проведения занятий лекционного типа",1
Персональный компьютер,"Кронштадтский бульвар, 20 | Учебная аудитория для проведения занятий лекционного типа",2
Проектор,"Кронштадтский бульвар, 20 | Учебная аудитория для проведения занятий лекционного типа",2
Экран,"Кронштадтский бульвар, 20 | Учебная аудитория для проведения занятий лекционного типа",2
Комплект специализированной мебели,"Кронштадтский бульвар, 20 | ауд. 101Д",1
Персональный компьютер,"Кронштадтский бульвар, 20 | ауд. 101Д",1
Проектор,"Кронштадтский бульвар, 20 | ауд. 101Д",1
Экран,"Кронштадтский бульвар, 20 | ауд. 101Д",1
Комплект специализированной мебели,"Кронштадтский бульвар, 20 | ауд. 105Г",1
Персональный компьютер,"Кронштадтский бульвар, 20 | ауд. 105Г",1
Проектор,"Кронштадтский бульвар, 20 | ауд. 105Г",1
Экран,"Кронштадтский бульвар, 20 | ауд. 105Г",1
Комплект специализированной мебели,"Кронштадтский бульвар, 20 | ауд. 201В",1
Персональный компьютер,"Кронштадтский бульвар, 20 | ауд. 201В",24
Комплект специализированной мебели,"Кронштадтский бульвар, 20 | ауд. 202В",1
Персональный компьютер,"Кронштадтский бульвар, 20 | ауд. 202В",1
Проектор,"Кронштадтский бульвар, 20 | ауд. 202В",1
Экран,"Кронштадтский бульвар, 20 | ауд. 202В",1
Комплект специализированной мебели,"Кронштадтский бульвар, 20 | ауд. 203В",1
Персональный компьютер,"Кронштадтский бульвар, 20 | ауд. 203В",1
Проектор,"Кронштадтский бульвар, 20 | ауд. 203В",1
Экран,"Кронштадтский бульвар, 20 | ауд. 203В",1
Комплект специализированной мебели,"Кронштадтский бульвар, 20 | ауд. 300В",1
Компьютер преподавателя с аудиосистемой,"Кронштадтский бульвар, 20 | ауд. 300В",1
