item_name,location,qty_available,canonical_item_name,search_query
"Комплект учебной мебели (столы, стулья, доска)","Кронштадтский бульвар, 20 | Аудитория Б-507 Учебная аудитория для проведения занятия семинарского типа, текущего контроля и промежуточной аттестации",,Комплект учебной мебели,Комплект учебной мебели
Тренажер полноразмерной имитации кабины самолета А320,"Кронштадтский бульвар, 20 | Аудитория 405В. Процедурные тренажеры MFTD Airbus A320/Boeing 737NG. Для проведения практических занятий.",1,Тренажер полноразмерной имитации кабины самолета А320,Тренажер полноразмерной имитации кабины самолета А320
Авиационный тренажер для обучения техническому обслуживанию самолета B737,"Кронштадтский бульвар, 20 | Аудитория 404В. Учебный класс авиационного тренажера MTD Boeing 737NG. Для проведения практических занятий, текущего контроля и промежуточной аттестации.",1,Авиационный тренажер для обучения техническому обслуживанию самолета B737,Авиационный тренажер для обучения техническому обслуживанию самолета B737
Авиационный тренажер для обучения техническому обслуживанию самолета B737,"Кронштадтский бульвар, 20 | Аудитория 401В. Учебный класс авиационного тренажера MTD Boeing 737NG. Для проведения практических занятий, текущего контроля и промежуточной аттестации.",1,Авиационный тренажер для обучения техническому обслуживанию самолета B737,Авиационный тренажер для обучения техническому обслуживанию самолета B737
Авиационный тренажер для обучения техническому обслуживанию самолета А320,"Кронштадтский бульвар, 20 | Аудитория 402В. Учебный класс авиационного тренажера MTD А320. Для проведения практических занятий, текущего контроля и промежуточной аттестации.",1,Авиационный тренажер для обучения техническому обслуживанию самолета А320,Авиационный тренажер для обучения техническому обслуживанию самолета А320
Принтер НР,"Кронштадтский бульвар, 20 | Аудитория 402В. Учебный класс авиационного тренажера MTD А320. Для проведения практических занятий, текущего контроля и промежуточной аттестации.",1,Принтер НР,Принтер НР
Авиационный тренажер для обучения техническому обслуживанию самолета А320,"Кронштадтский бульвар, 20 | Аудитория 403В. Учебный класс авиационного тренажера А320. Для проведения практических занятий, текущего контроля и промежуточной аттестации.",1,Авиационный тренажер для обучения техническому обслуживанию самолета А320,Авиационный тренажер для обучения техническому обслуживанию самолета А320
Принтер НР,"Кронштадтский бульвар, 20 | Аудитория 403В. Учебный класс авиационного тренажера А320. Для проведения практических занятий, текущего контроля и промежуточной аттестации.",1,Принтер НР,Принтер НР
Проектор EPSON,"Кронштадтский бульвар, 20 | Аудитория 403В. Учебный класс авиационного тренажера А320. Для проведения практических занятий, текущего контроля и промежуточной аттестации.",2,Мультимедийный проектор Epson,Мультимедийный проектор Epson
Полотно для проектора,"Кронштадтский бульвар, 20 | Аудитория 403В. Учебный класс авиационного тренажера А320. Для проведения практических занятий, текущего контроля и промежуточной аттестации.",2,Полотно для проектора,Полотно для проектора
