адрес_места_нахождения,наименование_кабинета,оснащенность,приспособленность_для_инвалидов
"Кронштадтский бульвар, 20","Аудитория Б-507 Учебная аудитория для проведения занятия семинарского типа, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Кронштадтский бульвар, 20",Аудитория 405В. Процедурные тренажеры MFTD Airbus A320/Boeing 737NG. Для проведения практических занятий.,Тренажер полноразмерной имитации кабины самолета А320 - 1 шт. Рабочих мест: 2                                                                           Тренажер полноразмерной имитации кабины самолета В737 - 1 шт. Рабочих мест: 2,-
"Кронштадтский бульвар, 20","Аудитория 404В. Учебный класс авиационного тренажера MTD Boeing 737NG. Для проведения практических занятий, текущего контроля и промежуточной аттестации.",Авиационный тренажер для обучения техническому обслуживанию самолета B737 - 1 шт. Мест для обучаемых -24 шт. Место инструктора -1 шт.,-
"Кронштадтский бульвар, 20","Аудитория 401В. Учебный класс авиационного тренажера MTD Boeing 737NG. Для проведения практических занятий, текущего контроля и промежуточной аттестации.",Авиационный тренажер для обучения техническому обслуживанию самолета B737 - 1 шт. Мест для обучаемых -24 шт. Место инструктора -1 шт.,-
"Кронштадтский бульвар, 20","Аудитория 402В. Учебный класс авиационного тренажера MTD А320. Для проведения практических занятий, текущего контроля и промежуточной аттестации.",Авиационный тренажер для обучения техническому обслуживанию самолета А320 - 1 шт. Мест для обучаемых -12 шт. Место инструктора -1 шт. Принтер НР - 1 шт;,-
"Кронштадтский бульвар, 20","Аудитория 403В. Учебный класс авиационного тренажера А320. Для проведения практических занятий, текущего контроля и промежуточной аттестации.",Авиационный тренажер для обучения техническому обслуживанию самолета А320 - 1 шт. Мест для обучаемых -12 шт. Место инструктора -1 шт. Принтер НР - 1 шт; Проектор EPSON - 2шт;            Полотно для проектора - 2 шт.,-
"Пулковская улица, 6а",Аудитория 2-202. Процедурный тренажеры MFTD Airbus A330. Для проведения практических занятий.,Тренажер полноразмерной имитации кабины самолета А330/А320 - 1 шт. Рабочих мест: 2,-
"Пулковская улица, 10","Аудитория 5-220 Учебная аудитория для проведения практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 10","Аудитория 5-216 Учебная аудитория для проведения практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 10","Аудитория 5-209 Учебная аудитория для проведения занятий лекционного типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 10","Аудитория 5-208 Учебная аудитория для проведения занятий лекционного типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 10","Аудитория 5-207 Учебная аудитория для проведения занятий лекционного типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 10","Аудитория 5-206 Учебная аудитория для проведения практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 10","Аудитория 5-203 Учебная аудитория для проведения практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 10","Аудитория 5-204 Учебная аудитория для проведения практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 10","Аудитория 5-112 Учебная аудитория для проведения занятий лекционного типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 10","Аудитория 5-102 Учебная аудитория для проведения занятий лекционного типа, практических занятий, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска)",-
"Пулковская улица, 10","Аудитория 5-316,  Учебная аудитория для проведения занятия лекционного типа, семинарского типа, текущего контроля Учебно-лабораторный комплекс","Комплект учебной мебели (столы, стулья, доска), рабочая станция CORE2 QUAD- 6 шт.Комплекс интерактивный SMART BOARD SBD685 – 1 шт.  Документ-камера – 1 шт. Компьютер преподавателя (ноутбук) Asus – 1 шт",-
"Пулковская улица, 10","Аудитория 5-315,  Учебная аудитория для проведения занятия лекционного типа, семинарского типа, текущего контроля , Лаборатория численного моделирования","Комплект учебной мебели (столы, стулья, доска),                                                                                              Рабочая станция CORE2 6550, в т.ч: сист. бл. CORE2 6550/FAN/ASUS; МОНИТОР19"" TFT- 5 шт.                                                                 Рабочая станция. ПЭВМ Pentium 4 - 6 шт.",-
"Пулковская улица, 10","Аудитория 5-303, Учебная аудитория для проведения лабораторных занятий","Комплект учебной мебели (столы, стулья, доска), Рабочая станция тип 2 НР 260 G2 2VR73ES,  8 шт:",-
"Пулковская улица, 10",Аудитория 5-415 Учебная аудитория для проведения практических работ,"Комплект учебной мебели (столы, стулья, шкафы), ПЭВМ PENTIUM-4 8шт., вольтметр В7-65,817, осциллограф С9-14,190276, паяльник с припоем DIGITAL 2000A",-
"Пулковская улица, 10","Аудитория 5-410  Учебная аудитория для проведения занятий лекционного типа, семинарского типа, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска), экран на штативе SCREENMEDIA APOLLO T 180Х180см, коммутатор 3COM BASELINE SWITCH 2824,  кондиционер WSH 127 BE/WRH 127 BE, рабочая станция 12 шт",-
"Пулковская улица, 10","Аудитория 5-409  Учебная аудитория для проведения занятий лекционного типа, семинарского типа, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска), панель интерактивнаяIDB LCD i70"", рабочая станция CORE i5-2300 2шт, рабочая станция WSI SOLO 10шт, стенд лабораторный схемотехника NI ELVIS 2+ 10шт",-
"Пулковская улица, 10","Аудитория 5-405 Учебная аудитория для проведения занятий лекционного типа, семинарского типа, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска),  экран настенный PRAPER LUMA",-
"Пулковская улица, 10","Аудитория 5-403 Учебная аудитория для проведения занятий лекционного типа, семинарского типа, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска), рабочая станция тип 2 HP 260 G2 2VR73ES 10шт",-
"Пулковская улица, 10","Аудитория 5-402  Учебная аудитория для проведения занятий лекционного типа, семинарского типа, текущего контроля и промежуточной аттестации","Комплект учебной мебели (столы, стулья, доска), кондиционер WSH 127 BE/WRH 127 BE, маршрутизатор CISCO10/1000SE 2шт, ПЭВМ PENTIUM-4 13шт , сервер Альтаир MULTISM252/2*XEON2400/512+FAN/MB INTEL SE7501HG2/2*512M PC2100...,1031019, сервер HP PROLIANT ML, шкаф телекоммуникационный напольный 42U",-
"Пулковская улица, 10","Аудитория 5-311, Учебная аудитория для проведения практических занятий и лабораторных работ","Мультимедийный видеопроектор,  экран – 1шт. ПК-10 шт. Лабораторная приставка NI ELVIS II",-
"Пулковская улица, 10","Аудитория 5-309, Учебная аудитория для проведения занятий лекционного типа, практических занятий и лабораторных работ","Контрольно-измерительная аппаратура общего применения: Компьютер-2шт., видеопроектор, экран, генератор низкой и высокой частоты, импульсные генераторы, генератор шума, вольтметры, осциллографы, фазометры, частотомеры измерители параметров элементов электрических цепей, спектроанализаторы, прибор для исследования корреляционных характеристик, телефонный скремблер «ГРОТ», аппаратура защиты телефонных переговоров СКР-511 «Референт», прибор «PROTECT 1203», генератор шума ГШ-501, прибор D008, прибор ST031P, генератор WNG023, помехоподавляющий фильтр ФАЗА 1-10, программно-аппаратный комплекс «СПРУТ-МИНИ», программно-аппаратный комплекс «НАВИГАТОР-П3Г», генератор шума «СОНАТА-С1», генератор шума ANG-2200, устройство защиты телефонных линий «ПРОКРУСТ-2000», прибор MFP-8000, блокиратор сотовых телефонов «ЗАВЕСА», нелинейный радиолокатор «МАСТЕР», сканирующий радиоприемник AR 8200, диктофон OLYMPUS,   металлоискатель SPHINX",-
"Пулковская улица, 10","Аудитория 5-308, Учебная аудитория для проведения практических занятий и лабораторных работ","Комплект учебной мебели (столы, стулья, доска), Мультимедийный проектор, 1 шт.; Дисплей TFT (Монитор LG) 1шт.; Компьютер ASER VERITOП - 11шт. Принтер НР- 1 шт.; Интерактивная доска Activeboard Promethean.Рабочие места -11 шт.",-
"Пулковская улица, 10","Аудитория 5-307, Учебная аудитория для проведения практических занятий и лабораторных работ","Лабораторный стенд «Криптографические системы», мультимедийный видеопроектор, экран. Столы, стулья",-
"Пулковская улица, 6",Аудитория 3-115 Учебная аудитория для проведения занятия лабораторного типа,"Комплект учебной мебели (столы, стулья, доска), Стенд И-11 - 1 шт., Установка лабораторная для исследования регулировки скорости двигателя - 1 шт.,Установка ППУ-2 - 1 шт.,Установка проверки закрылков ПП-СЭУ-3 - 1 шт.,Установка проверки манометров ЭУПМ-2М - 1 шт.,Установка проверки тахометров УПТ КСП - 1 шт.,Установка УПП-1 - 1 шт.,Установка проверки термометров УПТ-1М  - 1 шт.",-
"Пулковская улица, 6",Аудитория 3-114 Учебная аудитория для проведения занятия лабораторного типа,"Комплект учебной мебели (столы, стулья, доска), Стенд И-11 - 1 шт., Установка лабораторная для исследования регулировки скорости двигателя - 1 шт.,Установка ППУ-2 - 1 шт.,Установка проверки закрылков ПП-СЭУ-3 - 1 шт.,Установка проверки манометров ЭУПМ-2М - 1 шт.,Установка проверки тахометров УПТ КСП - 1 шт.,Установка УПП-1 - 1 шт.,Установка проверки термометров УПТ-1М  - 1 шт.",-
"Пулковская улица, 6",Аудитория 3-316 Учебная аудитория для проведения занятий семинарского типа (лабораторных работ),Комплект специализированной мебели; Установка КТУ-1М Установка лабораторная для исследования регулировки скорости двигателя Установка ППУ-2 Установка проверки манометров ЭУПМ-2М Установка проверки тахометров УПТ КСП Установка УПП-1 Установка УПТ-1М проверки термометров,-
"Пулковская улица, 6",Аудитория 3-313 Учебная аудитория для проведения занятий семинарского типа (лабораторных работ),"Аппаратура контрольно-проверочная ИС-1, 1 шт. Аппаратура контрольно-проверочная КПА УГВ-10, 1 шт. Аппаратура контрольно-проверочная КПА-НВУ-Б3, 1 шт. Выключатель коррекции ВК-90, 1 шт. Изделие НВУ, 1 шт. Платформа ПГ-1В-11, 1 шт. Платформа ПГ-1В-11, 1 шт. Пуль управления ПУ-36, 1 шт. Точная курсовая система ТКСП, 1 шт. Точная курсовая система ТКСП-2, 1 шт. Указатель поворота ЭУП-53 электрический, 1 шт. Установка проверки авиагоризонтов ПА-АГД-1, 1 шт. Установка проверки гироскопических приборов УПГ-56, 1 шт. Установка проверки курсовых систем, 3 шт. Установка УПП ГМК, 1 шт. Авиагоризонт, 11 шт. Автомат 2 шт. Аппаратура контрольно-проверочная, 1 шт. Аппаратура сдвоенная измерительная, 1 шт. АСУ АСП, 1 шт. БКПД, 2 шт. Высотомер, 1 шт. Вычислитель навигационный, 1 шт. Гироагрегат. 24 шт. Компас, 1 шт. ППД-1М, 2 шт. Система воздушных сигналов, 4 шт. Указатель поворота ЭУП-53 электрический, 3 шт. Установка КТУ-1, 1 шт. Установка КТУ-1М, 1 шт.",-
